優惠店家名稱,餐廳地址,好康條件,好康類型,好康內容
阿婆飯糰,臺北市大同區民生西路198號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
李記悶烤玉米,臺北市大同區民生西路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
韓國炸雞,臺北市大同區寧夏路與民生西路口(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
生鮮綜合水果,臺北市大同區民生西路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
新記煎餃,臺北市大同區民生西路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
九龍城香港茶,臺北市大同區民生西路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
「蓮」甘蔗飲料吧,臺北市大同區民生西路與寧夏路交叉口(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
先來厚到章魚燒,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
葉記青草茶,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
TO GO Tea,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
阿妹鳳爪,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
芋包芋,臺北市大同區寧夏路27號,自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
童年木瓜牛奶,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
月氏激蛋蔥油餅,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
鳥蛋達人,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
大大燒烤,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
168純鮮飲,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
季哲廣東粥,臺北市大同區寧夏路60號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
起司馬鈴薯,臺北市大同區寧夏路60號,自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
